OBJECTID,AMA_CODE,SUBBASIN_CODE,SUBBASIN_NAME,NAME_ABBR,SUBBASIN_NAME_GWSI,Shape__Area,Shape__Length
68,C,7,CAREFREE,CRF,CAREFREE,364458000.692505,103559.597867993
69,C,3,HASSAYAMPA,HAS,HASSAYAMPA,3101694397.7002,330203.753622816
70,C,4,WEST SALT RIVER VALLEY,WSR,WEST SALT RIVER,3434748740.55017,325397.530762266
71,0,63,BLACK RIVER,BRB,BLACK RIVER,3247088257.21851,384209.07429314
72,0,58,RANEGRAS PLAIN,RAN,RANEGRAS PLAIN,2361281724.94293,265731.941312144
73,C,6,EAST SALT RIVER VALLEY,ESR,EAST SALT RIVER,4415173053.36548,473319.286104306
74,0,52,MORENCI,MOR,MORENCI,4143035869.37793,417968.470457224
75,0,65,SALT RIVER LAKES,SRL,SALT RIVER LAKES,3143787411.27625,323304.543714065
76,C,8,FOUNTAIN HILLS,FNH,FOUNTAIN HILLS,925707486.63562,176202.501675771
77,G,19,HARQUAHALA,HAR,HARQUAHALA INA,1983266748.68646,239098.91633991
78,0,54,CIBOLA VALLEY,CIB,CIBOLA VALLEY,1798419310.17694,242590.820729302
79,0,61,SAN CARLOS VALLEY,GSK,SAN CARLOS VALLEY,3632395258.75647,320950.651427131
80,0,47,WELLTON-MOHAWK,WEM,WELLTON - MOHAWK,16037552344.395,765334.224132943
81,0,29,BONITA CREEK,BON,BONITA CREEK,1182484365.25,224652.717531881
82,0,49,MAMMOTH,MAM,MAMMOTH,3883044970.46814,452356.489781509
83,D,10,MARICOPA-STANFIELD,MST,MARICOPA - STANFIELD,1853005553.39685,255721.898395233
84,C,9,RAINBOW VALLEY,WAT,RAINBOW VALLEY,1094270299.51074,165139.564123695
85,,,,,,,
